# Wavenumber_cm-1 Intensity
40000.00000000 0.00044527
39920.15968064 0.00047756
39840.63745020 0.00051202
39761.43141153 0.00054879
39682.53968254 0.00058801
39603.96039604 0.00062984
39525.69169960 0.00067443
39447.73175542 0.00072194
39370.07874016 0.00077256
39292.73084479 0.00082646
39215.68627451 0.00088384
39138.94324853 0.00094490
39062.50000000 0.00100986
38986.35477583 0.00107894
38910.50583658 0.00115237
38834.95145631 0.00123042
38759.68992248 0.00131333
38684.71953578 0.00140138
38610.03861004 0.00149485
38535.64547206 0.00159406
38461.53846154 0.00169930
38387.71593090 0.00181092
38314.17624521 0.00192925
38240.91778203 0.00205466
38167.93893130 0.00218752
38095.23809524 0.00232823
38022.81368821 0.00247721
37950.66413662 0.00263487
37878.78787879 0.00280168
37807.18336484 0.00297809
37735.84905660 0.00316461
37664.78342750 0.00336173
37593.98496241 0.00357000
37523.45215760 0.00378996
37453.18352060 0.00402219
37383.17757009 0.00426729
37313.43283582 0.00452587
37243.94785847 0.00479860
37174.72118959 0.00508615
37105.75139147 0.00538920
37037.03703704 0.00570849
36968.57670980 0.00604477
36900.36900369 0.00639881
36832.41252302 0.00677144
36764.70588235 0.00716348
36697.24770642 0.00757580
36630.03663004 0.00800930
36563.07129799 0.00846490
36496.35036496 0.00894357
36429.87249545 0.00944630
36363.63636364 0.00997410
36297.64065336 0.01052803
36231.88405797 0.01110919
36166.36528029 0.01171869
36101.08303249 0.01235768
36036.03603604 0.01302737
35971.22302158 0.01372897
35906.64272890 0.01446374
35842.29390681 0.01523298
35778.17531306 0.01603801
35714.28571429 0.01688021
35650.62388592 0.01776096
35587.18861210 0.01868172
35523.97868561 0.01964394
35460.99290780 0.02064913
35398.23008850 0.02169885
35335.68904594 0.02279465
35273.36860670 0.02393816
35211.26760563 0.02513102
35149.38488576 0.02637491
35087.71929825 0.02767155
35026.26970228 0.02902267
34965.03496503 0.03043006
34904.01396161 0.03189552
34843.20557491 0.03342090
34782.60869565 0.03500807
34722.22222222 0.03665892
34662.04506066 0.03837538
34602.07612457 0.04015940
34542.31433506 0.04201296
34482.75862069 0.04393806
34423.40791738 0.04593671
34364.26116838 0.04801098
34305.31732419 0.05016290
34246.57534247 0.05239457
34188.03418803 0.05470808
34129.69283276 0.05710553
34071.55025554 0.05958903
34013.60544218 0.06216072
33955.85738540 0.06482273
33898.30508475 0.06757718
33840.94754653 0.07042621
33783.78378378 0.07337196
33726.81281619 0.07641655
33670.03367003 0.07956211
33613.44537815 0.08281073
33557.04697987 0.08616453
33500.83752094 0.08962557
33444.81605351 0.09319591
33388.98163606 0.09687758
33333.33333333 0.10067259
33277.87021631 0.10458291
33222.59136213 0.10861048
33167.49585406 0.11275720
33112.58278146 0.11702492
33057.85123967 0.12141544
33003.30033003 0.12593053
32948.92915980 0.13057188
32894.73684211 0.13534113
32840.72249589 0.14023986
32786.88524590 0.14526958
32733.22422259 0.15043172
32679.73856209 0.15572763
32626.42740620 0.16115859
32573.28990228 0.16672578
32520.32520325 0.17243031
32467.53246753 0.17827316
32414.91085900 0.18425525
32362.45954693 0.19037736
32310.17770598 0.19664017
32258.06451613 0.20304426
32206.11916264 0.20959009
32154.34083601 0.21627797
32102.72873194 0.22310812
32051.28205128 0.23008059
