# Wavenumber_cm-1 Intensity
40000.00000000 0.00008931
39920.15968064 0.00009850
39840.63745020 0.00010857
39761.43141153 0.00011961
39682.53968254 0.00013171
39603.96039604 0.00014495
39525.69169960 0.00015944
39447.73175542 0.00017530
39370.07874016 0.00019263
39292.73084479 0.00021156
39215.68627451 0.00023223
39138.94324853 0.00025479
39062.50000000 0.00027940
38986.35477583 0.00030623
38910.50583658 0.00033546
38834.95145631 0.00036729
38759.68992248 0.00040193
38684.71953578 0.00043962
38610.03861004 0.00048058
38535.64547206 0.00052510
38461.53846154 0.00057344
38387.71593090 0.00062591
38314.17624521 0.00068283
38240.91778203 0.00074453
38167.93893130 0.00081140
38095.23809524 0.00088381
38022.81368821 0.00096219
37950.66413662 0.00104698
37878.78787879 0.00113865
37807.18336484 0.00123771
37735.84905660 0.00134470
37664.78342750 0.00146017
37593.98496241 0.00158475
37523.45215760 0.00171906
37453.18352060 0.00186379
37383.17757009 0.00201967
37313.43283582 0.00218745
37243.94785847 0.00236795
37174.72118959 0.00256201
37105.75139147 0.00277055
37037.03703704 0.00299452
36968.57670980 0.00323492
36900.36900369 0.00349282
36832.41252302 0.00376933
36764.70588235 0.00406563
36697.24770642 0.00438295
36630.03663004 0.00472260
36563.07129799 0.00508595
36496.35036496 0.00547442
36429.87249545 0.00588952
36363.63636364 0.00633282
36297.64065336 0.00680597
36231.88405797 0.00731070
36166.36528029 0.00784880
36101.08303249 0.00842216
36036.03603604 0.00903274
35971.22302158 0.00968257
35906.64272890 0.01037380
35842.29390681 0.01110863
35778.17531306 0.01188938
35714.28571429 0.01271842
35650.62388592 0.01359825
35587.18861210 0.01453143
35523.97868561 0.01552063
35460.99290780 0.01656861
35398.23008850 0.01767821
35335.68904594 0.01885239
35273.36860670 0.02009417
35211.26760563 0.02140669
35149.38488576 0.02279315
35087.71929825 0.02425689
35026.26970228 0.02580129
34965.03496503 0.02742984
34904.01396161 0.02914613
34843.20557491 0.03095381
34782.60869565 0.03285663
34722.22222222 0.03485841
34662.04506066 0.03696304
