# Wavenumber_cm-1 Intensity
40000.00000000 0.00001509
39920.15968064 0.00001660
39840.63745020 0.00001825
39761.43141153 0.00002006
39682.53968254 0.00002204
39603.96039604 0.00002420
39525.69169960 0.00002656
39447.73175542 0.00002914
39370.07874016 0.00003195
39292.73084479 0.00003502
39215.68627451 0.00003837
39138.94324853 0.00004203
39062.50000000 0.00004601
38986.35477583 0.00005034
38910.50583658 0.00005506
38834.95145631 0.00006020
38759.68992248 0.00006579
38684.71953578 0.00007186
38610.03861004 0.00007846
38535.64547206 0.00008563
38461.53846154 0.00009342
38387.71593090 0.00010187
38314.17624521 0.00011104
38240.91778203 0.00012097
38167.93893130 0.00013174
38095.23809524 0.00014341
38022.81368821 0.00015604
37950.66413662 0.00016971
37878.78787879 0.00018450
37807.18336484 0.00020049
37735.84905660 0.00021778
37664.78342750 0.00023645
37593.98496241 0.00025660
37523.45215760 0.00027836
37453.18352060 0.00030183
37383.17757009 0.00032713
37313.43283582 0.00035441
37243.94785847 0.00038379
37174.72118959 0.00041542
37105.75139147 0.00044947
37037.03703704 0.00048610
36968.57670980 0.00052549
36900.36900369 0.00056782
36832.41252302 0.00061329
36764.70588235 0.00066212
36697.24770642 0.00071453
36630.03663004 0.00077074
36563.07129799 0.00083102
36496.35036496 0.00089563
36429.87249545 0.00096484
36363.63636364 0.00103895
36297.64065336 0.00111827
36231.88405797 0.00120311
36166.36528029 0.00129384
36101.08303249 0.00139080
36036.03603604 0.00149438
35971.22302158 0.00160497
35906.64272890 0.00172300
35842.29390681 0.00184891
35778.17531306 0.00198316
35714.28571429 0.00212624
35650.62388592 0.00227865
35587.18861210 0.00244092
35523.97868561 0.00261362
35460.99290780 0.00279731
35398.23008850 0.00299262
35335.68904594 0.00320018
35273.36860670 0.00342065
35211.26760563 0.00365472
35149.38488576 0.00390311
35087.71929825 0.00416658
35026.26970228 0.00444590
34965.03496503 0.00474189
34904.01396161 0.00505539
34843.20557491 0.00538727
34782.60869565 0.00573845
34722.22222222 0.00610987
34662.04506066 0.00650251
34602.07612457 0.00691738
34542.31433506 0.00735553
34482.75862069 0.00781803
34423.40791738 0.00830600
34364.26116838 0.00882061
