# Wavenumber_cm-1 Intensity
40000.00000000 0.00001587
39920.15968064 0.00001715
39840.63745020 0.00001853
39761.43141153 0.00002001
39682.53968254 0.00002161
39603.96039604 0.00002333
39525.69169960 0.00002518
39447.73175542 0.00002717
39370.07874016 0.00002930
39292.73084479 0.00003160
39215.68627451 0.00003406
39138.94324853 0.00003671
39062.50000000 0.00003955
38986.35477583 0.00004260
38910.50583658 0.00004588
38834.95145631 0.00004939
38759.68992248 0.00005315
38684.71953578 0.00005719
38610.03861004 0.00006152
38535.64547206 0.00006615
38461.53846154 0.00007112
38387.71593090 0.00007643
38314.17624521 0.00008212
38240.91778203 0.00008821
38167.93893130 0.00009472
38095.23809524 0.00010169
38022.81368821 0.00010914
37950.66413662 0.00011710
37878.78787879 0.00012561
37807.18336484 0.00013470
37735.84905660 0.00014440
37664.78342750 0.00015477
37593.98496241 0.00016583
37523.45215760 0.00017763
37453.18352060 0.00019022
37383.17757009 0.00020364
37313.43283582 0.00021795
37243.94785847 0.00023320
37174.72118959 0.00024945
37105.75139147 0.00026676
37037.03703704 0.00028519
36968.57670980 0.00030481
36900.36900369 0.00032569
36832.41252302 0.00034790
36764.70588235 0.00037152
36697.24770642 0.00039664
36630.03663004 0.00042333
36563.07129799 0.00045170
36496.35036496 0.00048183
36429.87249545 0.00051384
36363.63636364 0.00054781
36297.64065336 0.00058387
36231.88405797 0.00062213
36166.36528029 0.00066271
36101.08303249 0.00070575
36036.03603604 0.00075137
35971.22302158 0.00079972
35906.64272890 0.00085094
35842.29390681 0.00090519
35778.17531306 0.00096263
35714.28571429 0.00102344
35650.62388592 0.00108778
35587.18861210 0.00115585
35523.97868561 0.00122783
35460.99290780 0.00130394
35398.23008850 0.00138437
35335.68904594 0.00146937
35273.36860670 0.00155914
35211.26760563 0.00165395
35149.38488576 0.00175402
35087.71929825 0.00185964
35026.26970228 0.00197108
34965.03496503 0.00208860
34904.01396161 0.00221252
34843.20557491 0.00234315
34782.60869565 0.00248079
34722.22222222 0.00262580
34662.04506066 0.00277850
34602.07612457 0.00293927
34542.31433506 0.00310848
34482.75862069 0.00328652
34423.40791738 0.00347378
34364.26116838 0.00367070
34305.31732419 0.00387771
34246.57534247 0.00409525
34188.03418803 0.00432380
34129.69283276 0.00456383
34071.55025554 0.00481585
34013.60544218 0.00508037
33955.85738540 0.00535794
33898.30508475 0.00564910
33840.94754653 0.00595443
33783.78378378 0.00627451
33726.81281619 0.00660997
33670.03367003 0.00696143
33613.44537815 0.00732955
33557.04697987 0.00771498
33500.83752094 0.00811843
33444.81605351 0.00854060
33388.98163606 0.00898223
33333.33333333 0.00944408
33277.87021631 0.00992691
33222.59136213 0.01043153
33167.49585406 0.01095876
33112.58278146 0.01150944
33057.85123967 0.01208444
33003.30033003 0.01268463
32948.92915980 0.01331094
32894.73684211 0.01396430
32840.72249589 0.01464565
32786.88524590 0.01535598
32733.22422259 0.01609630
32679.73856209 0.01686762
32626.42740620 0.01767099
32573.28990228 0.01850748
32520.32520325 0.01937819
32467.53246753 0.02028423
32414.91085900 0.02122673
32362.45954693 0.02220686
32310.17770598 0.02322579
32258.06451613 0.02428473
32206.11916264 0.02538490
32154.34083601 0.02652754
32102.72873194 0.02771391
32051.28205128 0.02894531
32000.00000000 0.03022302
31948.88178914 0.03154836
31897.92663477 0.03292269
31847.13375796 0.03434733
31796.50238474 0.03582368
31746.03174603 0.03735311
31695.72107765 0.03893702
31645.56962025 0.04057682
31595.57661927 0.04227394
31545.74132492 0.04402981
31496.06299213 0.04584588
31446.54088050 0.04772359
31397.17425432 0.04966442
31347.96238245 0.05166982
31298.90453834 0.05374128
31250.00000000 0.05588025
31201.24804992 0.05808823
31152.64797508 0.06036668
31104.19906687 0.06271708
31055.90062112 0.06514091
31007.75193798 0.06763961
30959.75232198 0.07021466
30911.90108192 0.07286751
30864.19753086 0.07559958
30816.64098613 0.07841232
30769.23076923 0.08130711
30721.96620584 0.08428537
30674.84662577 0.08734846
30627.87136294 0.09049773
30581.03975535 0.09373452
30534.35114504 0.09706011
30487.80487805 0.10047579
30441.40030441 0.10398278
30395.13677812 0.10758231
30349.01365706 0.11127553
30303.03030303 0.11506359
30257.18608169 0.11894756
30211.48036254 0.12292849
30165.91251885 0.12700739
30120.48192771 0.13118519
