# Wavenumber_cm-1 Intensity
40000.00000000 0.00000844
39920.15968064 0.00000929
39840.63745020 0.00001022
39761.43141153 0.00001124
39682.53968254 0.00001235
39603.96039604 0.00001357
39525.69169960 0.00001491
39447.73175542 0.00001637
39370.07874016 0.00001796
39292.73084479 0.00001970
39215.68627451 0.00002161
39138.94324853 0.00002368
39062.50000000 0.00002595
38986.35477583 0.00002842
38910.50583658 0.00003112
38834.95145631 0.00003406
38759.68992248 0.00003726
38684.71953578 0.00004074
38610.03861004 0.00004453
38535.64547206 0.00004866
38461.53846154 0.00005314
38387.71593090 0.00005802
38314.17624521 0.00006332
38240.91778203 0.00006907
38167.93893130 0.00007532
38095.23809524 0.00008210
38022.81368821 0.00008946
37950.66413662 0.00009744
37878.78787879 0.00010608
37807.18336484 0.00011544
37735.84905660 0.00012559
37664.78342750 0.00013656
37593.98496241 0.00014844
37523.45215760 0.00016129
37453.18352060 0.00017517
37383.17757009 0.00019018
37313.43283582 0.00020639
37243.94785847 0.00022390
37174.72118959 0.00024279
37105.75139147 0.00026317
37037.03703704 0.00028514
36968.57670980 0.00030883
36900.36900369 0.00033435
36832.41252302 0.00036183
36764.70588235 0.00039142
36697.24770642 0.00042326
36630.03663004 0.00045750
36563.07129799 0.00049432
36496.35036496 0.00053389
36429.87249545 0.00057639
36363.63636364 0.00062203
36297.64065336 0.00067101
36231.88405797 0.00072356
36166.36528029 0.00077991
36101.08303249 0.00084032
36036.03603604 0.00090504
35971.22302158 0.00097436
35906.64272890 0.00104857
35842.29390681 0.00112798
35778.17531306 0.00121291
35714.28571429 0.00130373
35650.62388592 0.00140078
35587.18861210 0.00150445
35523.97868561 0.00161515
35460.99290780 0.00173330
35398.23008850 0.00185935
35335.68904594 0.00199376
35273.36860670 0.00213705
35211.26760563 0.00228971
35149.38488576 0.00245229
35087.71929825 0.00262537
35026.26970228 0.00280955
34965.03496503 0.00300544
34904.01396161 0.00321370
34843.20557491 0.00343502
34782.60869565 0.00367011
34722.22222222 0.00391973
34662.04506066 0.00418464
34602.07612457 0.00446568
34542.31433506 0.00476368
34482.75862069 0.00507954
34423.40791738 0.00541417
34364.26116838 0.00576854
34305.31732419 0.00614365
34246.57534247 0.00654053
34188.03418803 0.00696027
34129.69283276 0.00740398
34071.55025554 0.00787283
34013.60544218 0.00836802
33955.85738540 0.00889080
33898.30508475 0.00944245
33840.94754653 0.01002433
33783.78378378 0.01063781
33726.81281619 0.01128432
33670.03367003 0.01196534
33613.44537815 0.01268237
33557.04697987 0.01343701
33500.83752094 0.01423085
33444.81605351 0.01506556
33388.98163606 0.01594285
33333.33333333 0.01686448
33277.87021631 0.01783226
33222.59136213 0.01884803
33167.49585406 0.01991369
33112.58278146 0.02103120
33057.85123967 0.02220252
33003.30033003 0.02342972
32948.92915980 0.02471485
32894.73684211 0.02606005
32840.72249589 0.02746747
32786.88524590 0.02893933
32733.22422259 0.03047786
32679.73856209 0.03208534
32626.42740620 0.03376410
32573.28990228 0.03551649
32520.32520325 0.03734489
32467.53246753 0.03925170
32414.91085900 0.04123938
32362.45954693 0.04331038
32310.17770598 0.04546719
32258.06451613 0.04771231
32206.11916264 0.05004828
32154.34083601 0.05247761
32102.72873194 0.05500285
32051.28205128 0.05762655
32000.00000000 0.06035126
31948.88178914 0.06317951
31897.92663477 0.06611385
31847.13375796 0.06915680
31796.50238474 0.07231087
31746.03174603 0.07557855
31695.72107765 0.07896229
31645.56962025 0.08246453
31595.57661927 0.08608766
31545.74132492 0.08983403
31496.06299213 0.09370592
31446.54088050 0.09770561
31397.17425432 0.10183526
31347.96238245 0.10609699
31298.90453834 0.11049286
31250.00000000 0.11502483
31201.24804992 0.11969479
31152.64797508 0.12450451
31104.19906687 0.12945570
31055.90062112 0.13454993
31007.75193798 0.13978868
30959.75232198 0.14517331
30911.90108192 0.15070503
30864.19753086 0.15638494
30816.64098613 0.16221401
30769.23076923 0.16819302
30721.96620584 0.17432264
30674.84662577 0.18060336
30627.87136294 0.18703551
30581.03975535 0.19361924
30534.35114504 0.20035451
30487.80487805 0.20724113
30441.40030441 0.21427868
30395.13677812 0.22146656
30349.01365706 0.22880395
30303.03030303 0.23628985
30257.18608169 0.24392301
30211.48036254 0.25170199
30165.91251885 0.25962510
30120.48192771 0.26769044
