# Wavenumber_cm-1 Intensity
40000.00000000 0.00000065
39920.15968064 0.00000072
39840.63745020 0.00000079
39761.43141153 0.00000087
39682.53968254 0.00000096
39603.96039604 0.00000105
39525.69169960 0.00000115
39447.73175542 0.00000127
39370.07874016 0.00000139
39292.73084479 0.00000153
39215.68627451 0.00000168
39138.94324853 0.00000184
39062.50000000 0.00000202
38986.35477583 0.00000221
38910.50583658 0.00000242
38834.95145631 0.00000265
38759.68992248 0.00000290
38684.71953578 0.00000318
38610.03861004 0.00000348
38535.64547206 0.00000381
38461.53846154 0.00000416
38387.71593090 0.00000455
38314.17624521 0.00000497
38240.91778203 0.00000543
38167.93893130 0.00000593
38095.23809524 0.00000647
38022.81368821 0.00000706
37950.66413662 0.00000770
37878.78787879 0.00000840
37807.18336484 0.00000916
37735.84905660 0.00000998
37664.78342750 0.00001087
37593.98496241 0.00001183
37523.45215760 0.00001288
37453.18352060 0.00001402
37383.17757009 0.00001525
37313.43283582 0.00001658
37243.94785847 0.00001803
37174.72118959 0.00001959
37105.75139147 0.00002128
37037.03703704 0.00002311
36968.57670980 0.00002509
36900.36900369 0.00002723
36832.41252302 0.00002954
36764.70588235 0.00003204
36697.24770642 0.00003473
36630.03663004 0.00003764
36563.07129799 0.00004078
36496.35036496 0.00004416
36429.87249545 0.00004781
36363.63636364 0.00005175
36297.64065336 0.00005598
36231.88405797 0.00006055
36166.36528029 0.00006546
36101.08303249 0.00007075
36036.03603604 0.00007644
35971.22302158 0.00008255
35906.64272890 0.00008913
35842.29390681 0.00009620
35778.17531306 0.00010379
35714.28571429 0.00011194
35650.62388592 0.00012069
35587.18861210 0.00013008
35523.97868561 0.00014016
35460.99290780 0.00015096
35398.23008850 0.00016254
35335.68904594 0.00017494
35273.36860670 0.00018823
35211.26760563 0.00020246
35149.38488576 0.00021769
35087.71929825 0.00023399
35026.26970228 0.00025142
34965.03496503 0.00027005
34904.01396161 0.00028997
34843.20557491 0.00031125
34782.60869565 0.00033398
34722.22222222 0.00035824
34662.04506066 0.00038413
34602.07612457 0.00041176
34542.31433506 0.00044121
34482.75862069 0.00047262
34423.40791738 0.00050608
34364.26116838 0.00054173
34305.31732419 0.00057970
34246.57534247 0.00062011
34188.03418803 0.00066311
34129.69283276 0.00070885
34071.55025554 0.00075748
34013.60544218 0.00080917
33955.85738540 0.00086410
33898.30508475 0.00092243
33840.94754653 0.00098437
33783.78378378 0.00105010
33726.81281619 0.00111984
33670.03367003 0.00119380
33613.44537815 0.00127221
33557.04697987 0.00135531
33500.83752094 0.00144334
33444.81605351 0.00153656
33388.98163606 0.00163523
33333.33333333 0.00173965
33277.87021631 0.00185011
33222.59136213 0.00196690
33167.49585406 0.00209034
33112.58278146 0.00222077
33057.85123967 0.00235854
33003.30033003 0.00250398
32948.92915980 0.00265749
32894.73684211 0.00281944
32840.72249589 0.00299023
32786.88524590 0.00317029
32733.22422259 0.00336003
32679.73856209 0.00355990
32626.42740620 0.00377038
32573.28990228 0.00399192
32520.32520325 0.00422504
32467.53246753 0.00447024
32414.91085900 0.00472804
32362.45954693 0.00499900
32310.17770598 0.00528368
32258.06451613 0.00558265
32206.11916264 0.00589651
32154.34083601 0.00622589
32102.72873194 0.00657141
32051.28205128 0.00693372
32000.00000000 0.00731351
31948.88178914 0.00771145
31897.92663477 0.00812826
31847.13375796 0.00856466
31796.50238474 0.00902139
31746.03174603 0.00949922
31695.72107765 0.00999893
31645.56962025 0.01052132
31595.57661927 0.01106721
31545.74132492 0.01163743
31496.06299213 0.01223282
31446.54088050 0.01285428
31397.17425432 0.01350267
31347.96238245 0.01417890
31298.90453834 0.01488390
31250.00000000 0.01561859
31201.24804992 0.01638393
31152.64797508 0.01718088
31104.19906687 0.01801041
31055.90062112 0.01887353
31007.75193798 0.01977122
30959.75232198 0.02070451
30911.90108192 0.02167442
30864.19753086 0.02268199
30816.64098613 0.02372825
30769.23076923 0.02481427
30721.96620584 0.02594109
30674.84662577 0.02710979
30627.87136294 0.02832141
30581.03975535 0.02957705
30534.35114504 0.03087776
30487.80487805 0.03222462
30441.40030441 0.03361870
30395.13677812 0.03506106
30349.01365706 0.03655276
30303.03030303 0.03809487
30257.18608169 0.03968841
30211.48036254 0.04133444
30165.91251885 0.04303397
30120.48192771 0.04478802
30075.18796992 0.04659757
30030.03003003 0.04846361
29985.00749625 0.05038710
29940.11976048 0.05236896
